Part Number,Finish,Length,Units,List Price,Page Number(s)
BE9-0638,Bronze,24’ - 0”,1 pc.,756,F1-15
BE9-0638,Paint,24’ - 0”,1 pc.,975,F1-15
BE9-0639,Clear,24’ - 0”,1 pc.,480,F1-16
BE9-0639,Bronze,24’ - 0”,1 pc.,492,F1-16
BE9-0639,Paint,24’ - 0”,1 pc.,512,F1-16
BE9-0655,Clear,24’ - 0”,1 pc.,276,F1-16
BE9-0655,Bronze,24’ - 0”,1 pc.,294,F1-16
,,,,,
Index-54,,,,,
"Effective Date: May 2, 2025",,,,,
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
BE9-0655,Paint,24’ - 0”,1 pc.,335,F1-16
BE9-0667,Clear,24’ - 0”,1 pc.,653,F1-17
BE9-0667,Bronze,24’ - 0”,1 pc.,666,F1-17
BE9-0667,Paint,24’ - 0”,1 pc.,819,F1-17
BE9-0681,Clear,24’ - 0”,1 pc.,717,F1-15
BE9-0681,Bronze,24’ - 0”,1 pc.,767,F1-15
BE9-0681,Paint,24’ - 0”,1 pc.,932,F1-15
BE9-0682,Clear,24’ - 0”,1 pc.,602,F1-15
BE9-0682,Bronze,24’ - 0”,1 pc.,624,F1-15
BE9-0682,Paint,24’ - 0”,1 pc.,764,F1-15
BE9-0683,Clear,24’ - 0”,1 pc.,770,F1-15
BE9-0683,Bronze,24’ - 0”,1 pc.,791,F1-15
BE9-0683,Paint,24’ - 0”,1 pc.,999,F1-15
BE9-0684,Clear,24’ - 0”,1 pc.,957,F1-16
BE9-0684,Bronze,24’ - 0”,1 pc.,980,F1-16
BE9-0684,Paint,24’ - 0”,1 pc.,1218,F1-16
BE9-0687,Clear,24’ - 0”,1 pc.,474,F1-16
BE9-0687,Bronze,24’ - 0”,1 pc.,486,F1-16
BE9-0687,Paint,24’ - 0”,1 pc.,548,F1-16
BE9-0688,Clear,24’ - 0”,1 pc.,465,F1-17
BE9-0688,Bronze,24’ - 0”,1 pc.,477,F1-17
BE9-0688,Paint,24’ - 0”,1 pc.,606,F1-17
BE9-0689,Clear,24’ - 0”,1 pc.,536,F1-17
BE9-0689,Bronze,24’ - 0”,1 pc.,548,F1-17
BE9-0689,Paint,24’ - 0”,1 pc.,692,F1-17
BE9-1340,Clear,24’ - 0”,1 pc.,578,C3-16
BE9-1340,Bronze,24’ - 0”,1 pc.,588,C3-16
BE9-1340,Paint,24’ - 0”,1 pc.,689,C3-16
BE9-1341,Clear,24’ - 0”,1 pc.,621,C3-16
BE9-1341,Bronze,24’ - 0”,1 pc.,648,C3-16
BE9-1341,Paint,24’ - 0”,1 pc.,749,C3-16
BE9-1342,Clear,24’ - 0”,1 pc.,276,C3-16
BE9-1342,Bronze,24’ - 0”,1 pc.,318,C3-16
BE9-1342,Paint,24’ - 0”,1 pc.,411,C3-16
BE9-1441,Clear,24’ - 0”,1 pc.,570,C7-2
BE9-1441,Bronze,24’ - 0”,1 pc.,593,C7-2
BE9-1441,Paint,24’ - 0”,1 pc.,663,C7-2
BE9-1442,Clear,24’ - 0”,1 pc.,473,C7-2
BE9-1442,Bronze,24’ - 0”,1 pc.,495,C7-2
BE9-1442,Paint,24’ - 0”,1 pc.,546,C7-2
BE9-1443,Clear,24’ - 0”,1 pc.,503,C7-2
BE9-1443,Bronze,24’ - 0”,1 pc.,524,C7-2
BE9-1443,Paint,24’ - 0”,1 pc.,567,C7-2
BE9-1444,Clear,24’ - 0”,1 pc.,230,C7-2
BE9-1444,Bronze,24’ - 0”,1 pc.,246,C7-2
BE9-1444,Paint,24’ - 0”,1 pc.,266,C7-2
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
BE9-1445,Clear,24’ - 0”,1 pc.,225,C7-2
BE9-1445,Bronze,24’ - 0”,1 pc.,260,C7-2
BE9-1445,Paint,24’ - 0”,1 pc.,281,C7-2
BE9-1447,Clear,24’ - 0”,1 pc.,297,C7-2
BE9-1447,Bronze,24’ - 0”,1 pc.,312,C7-2
BE9-1447,Paint,24’ - 0”,1 pc.,368,C7-2
